@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute Action {North,South,East,West,Stop}

@data
14,5,West,2,16,3,-1,1,1,1,1,West
13,5,West,2,14,5,-1,0,1,1,1,West
12,5,West,-1,12,7,-1,0,0,1,1,West
11,5,West,-1,10,7,-1,0,1,1,1,West
10,5,West,-1,10,8,-1,1,1,1,1,West
9,5,West,-1,8,10,-1,1,1,1,1,West
8,5,West,-1,6,10,-1,1,1,1,1,West
7,5,West,-1,4,12,-1,0,1,1,1,West
6,5,West,-1,3,14,-1,0,1,1,1,West
5,5,West,-1,4,15,-1,0,1,1,1,West
4,5,West,-1,4,16,-1,0,1,1,1,West
3,5,West,-1,6,16,-1,0,1,1,1,West
2,5,West,-1,8,18,-1,0,1,1,1,West
1,5,West,-1,10,19,-1,1,1,0,1,North
1,6,North,-1,8,19,-1,1,1,0,0,North
1,7,North,-1,8,20,-1,1,1,0,1,North
1,8,North,-1,6,20,-1,1,1,0,1,East
2,8,East,-1,6,20,-1,1,1,1,1,East
3,8,East,-1,4,19,-1,1,1,1,1,East
4,8,East,-1,4,17,-1,1,1,1,1,East
5,8,East,-1,2,17,-1,1,1,1,1,East
6,8,East,-1,2,16,-1,1,1,1,1,East
7,8,East,-1,-1,14,-1,1,1,1,1,East
8,8,East,-1,-1,13,-1,1,1,1,1,East
9,8,East,-1,-1,11,-1,1,1,1,1,East
10,8,East,-1,-1,9,-1,1,1,1,0,North
10,9,North,-1,-1,11,-1,1,1,1,1,East
11,9,East,-1,-1,10,-1,1,0,1,1,East
12,9,East,-1,-1,8,-1,0,1,1,1,East
13,9,East,-1,-1,6,-1,0,1,1,1,East
14,9,East,-1,-1,6,-1,1,1,1,1,South
14,8,South,-1,-1,6,-1,1,1,1,1,South
14,7,South,-1,-1,4,-1,1,1,1,1,South
14,6,South,-1,-1,2,-1,1,1,0,0,South
15,3,East,15,17,13,12,1,0,1,1,East
16,3,East,15,17,13,13,0,0,1,1,East
17,3,East,17,18,15,15,0,0,1,1,East
18,3,East,17,19,17,16,0,0,1,1,East
19,3,East,19,19,18,17,0,0,1,1,East
20,3,East,21,21,19,18,0,0,1,1,East
21,3,East,21,22,19,18,0,0,1,1,East
22,3,East,21,24,21,18,0,0,1,1,East
23,3,East,23,24,23,20,0,0,1,1,East
24,3,East,24,24,24,22,0,0,1,1,East
25,3,East,25,25,25,24,0,0,1,1,East
26,3,East,26,26,25,25,1,0,1,0,North
26,4,North,24,26,24,23,1,1,0,0,North
26,5,North,23,26,22,22,0,1,1,0,West
25,5,West,23,25,21,21,0,0,1,1,West
24,5,West,21,24,21,21,1,0,1,1,West
23,5,West,21,23,20,21,0,0,1,1,West
22,5,West,20,21,20,19,0,0,1,1,West
21,5,West,20,19,18,18,1,0,0,1,North
21,6,North,19,19,18,17,1,1,0,0,North
21,7,North,17,18,16,15,1,1,0,0,North
21,8,North,17,16,15,15,1,1,1,0,North
21,9,North,16,14,15,14,1,1,0,0,North
21,10,North,15,14,13,12,1,1,0,0,North
21,11,North,15,12,12,12,1,1,1,1,North
21,12,North,13,12,12,12,1,1,0,0,North
21,13,North,13,12,10,10,1,1,0,0,North
21,14,North,12,12,9,9,1,1,0,0,North
21,15,North,10,10,9,7,1,1,1,1,West
20,15,West,8,9,8,5,0,0,1,1,West
19,15,West,7,6,8,3,1,1,0,1,North
19,16,North,7,5,6,5,1,1,0,0,North
19,17,North,7,5,7,6,0,1,1,0,West
18,17,West,5,4,5,5,0,0,1,1,West
17,17,West,5,3,3,5,0,0,1,1,West
16,17,West,5,1,2,3,0,0,1,1,West
15,17,West,5,-1,1,3,1,0,1,1,West
14,17,West,3,-1,-1,3,0,1,1,1,West
13,17,West,1,-1,-1,1,0,1,1,1,South
15,3,East,17,16,12,13,1,0,1,1,East
16,3,East,18,16,12,13,0,0,1,1,East
17,3,East,18,17,12,15,0,0,1,1,East
18,3,East,19,17,14,17,0,0,1,1,East
19,3,East,20,17,16,19,0,0,1,1,East
20,3,East,20,19,17,21,0,0,1,1,East
21,3,East,20,19,17,21,0,0,1,1,East
22,3,East,20,21,19,23,0,0,1,1,East
23,3,East,20,23,21,23,0,0,1,1,East
24,3,East,22,23,21,23,0,0,1,1,East
25,3,East,24,23,23,23,0,0,1,1,East
26,3,East,26,25,25,24,1,0,1,0,North
26,4,North,25,25,25,24,1,1,0,0,North
26,5,North,23,25,24,24,0,1,1,0,West
25,5,West,21,25,22,22,0,0,1,1,West
24,5,West,21,24,22,20,1,0,1,1,North
24,6,North,20,24,20,19,1,1,0,0,North
24,7,North,20,22,20,18,1,1,0,0,North
24,8,North,19,20,20,18,0,1,0,1,East
25,8,East,19,20,20,20,0,0,1,1,East
26,8,East,19,21,22,22,1,0,1,0,North
26,9,North,19,21,22,20,1,1,0,0,North
26,10,North,19,19,20,20,1,1,0,0,North
26,11,North,17,17,19,19,0,1,1,0,West
25,11,West,17,17,18,19,0,0,1,1,West
24,11,West,16,17,17,17,0,0,1,1,West
23,11,West,16,17,15,16,0,0,1,1,West
22,11,West,15,17,13,15,0,0,1,1,West
21,11,West,15,15,13,15,1,1,1,1,North
21,12,North,13,14,11,14,1,1,0,0,North
21,13,North,11,12,11,13,1,1,0,0,North
21,14,North,9,11,11,12,1,1,0,0,North
21,15,North,7,9,9,11,1,1,1,1,West
20,15,West,5,7,8,9,0,0,1,1,West
19,15,West,4,6,8,9,1,1,0,1,North
19,16,North,5,7,7,9,1,1,0,0,North
19,17,North,5,7,6,9,0,1,1,0,West
18,17,West,4,5,6,8,0,0,1,1,West
17,17,West,4,5,4,6,0,0,1,1,West
16,17,West,2,5,4,6,0,0,1,1,West
15,17,West,3,3,3,4,1,0,1,1,West
14,17,West,3,3,3,3,0,1,1,1,West
13,17,West,5,3,1,2,0,1,1,1,South
13,16,South,3,2,2,1,1,1,0,1,South
13,15,South,2,1,4,-1,1,0,1,1,East
14,15,East,1,-1,6,-1,1,0,1,1,East
15,15,East,-1,-1,8,-1,0,0,1,1,East
16,15,East,-1,-1,8,-1,0,0,1,1,West
15,15,West,-1,-1,7,-1,0,0,1,1,West
14,15,West,-1,-1,6,-1,1,0,1,1,West
13,15,West,-1,-1,5,-1,1,0,1,1,North
13,16,North,-1,-1,3,-1,1,1,0,1,North
13,17,North,-1,-1,2,-1,0,1,1,1,West
15,3,East,16,15,16,12,1,0,1,1,East
16,3,East,16,15,16,12,0,0,1,1,East
17,3,East,17,16,16,12,0,0,1,1,East
18,3,East,18,18,17,14,0,0,1,1,East
19,3,East,20,19,19,16,0,0,1,1,West
18,3,West,20,18,17,14,0,0,1,1,West
17,3,West,19,16,15,12,0,0,1,1,West
16,3,West,17,15,13,12,0,0,1,1,West
15,3,West,17,15,13,13,1,0,1,1,West
14,3,West,15,15,13,14,0,0,1,1,West
13,3,West,15,15,14,14,0,0,1,1,West
12,3,West,14,15,14,15,1,0,1,1,North
12,4,North,13,15,14,15,1,1,0,0,North
12,5,North,11,14,12,13,0,1,1,0,West
11,5,West,11,16,13,14,0,0,1,1,West
10,5,West,11,18,15,16,0,0,1,1,West
9,5,West,13,20,15,17,1,0,0,1,North
9,6,North,11,19,15,15,1,1,0,0,North
9,7,North,9,17,13,14,1,1,0,0,North
9,8,North,8,15,13,12,0,1,1,1,East
10,8,East,8,13,11,12,0,0,1,1,East
11,8,East,8,11,11,10,0,0,1,1,East
12,8,East,9,10,11,8,1,0,1,1,North
12,9,North,7,10,11,7,1,1,0,0,North
12,10,North,5,9,9,7,1,1,0,0,North
12,11,North,4,7,9,5,0,1,1,0,West
11,11,West,6,7,10,5,0,0,1,1,West
10,11,West,6,9,11,6,0,0,1,1,West
9,11,West,6,10,12,8,0,0,1,1,West
8,11,West,8,12,13,10,1,0,1,1,North
8,12,North,7,10,11,10,1,1,0,0,North
8,13,North,6,9,9,8,1,1,0,1,North
8,14,North,5,8,7,8,1,1,0,0,North
8,15,North,5,8,5,7,1,1,1,0,North
8,16,North,5,6,7,5,1,1,0,0,North
8,17,North,5,7,8,5,0,1,0,1,East
9,17,East,5,6,6,4,0,0,1,1,East
10,17,East,5,4,5,2,0,0,1,1,East
11,17,East,4,4,3,-1,0,0,1,1,East
12,17,East,4,4,2,-1,1,0,1,1,East
13,17,East,2,2,4,-1,0,1,1,1,West
12,17,West,3,4,3,-1,1,0,1,1,West
11,17,West,3,4,3,-1,0,0,1,1,West
10,17,West,4,4,3,-1,0,0,1,1,West
9,17,West,6,6,5,-1,0,0,1,1,East
10,17,East,4,4,5,-1,0,0,1,1,East
11,17,East,4,4,3,-1,0,0,1,1,East
12,17,East,2,3,1,-1,1,0,1,1,East
13,17,East,4,3,-1,-1,0,1,1,1,South
13,16,South,3,1,-1,-1,1,1,0,1,South
13,15,South,1,1,-1,-1,1,0,1,1,West
12,15,West,-1,2,-1,-1,0,0,1,1,West
11,15,West,-1,3,-1,-1,0,0,1,1,West
10,15,West,-1,5,-1,-1,0,0,0,1,East
11,15,East,-1,4,-1,-1,0,0,1,1,East
12,15,East,-1,4,-1,-1,0,0,1,1,East
13,15,East,-1,3,-1,-1,1,0,1,1,North
13,16,North,-1,2,-1,-1,1,1,0,1,North
13,3,West,15,14,15,16,0,0,1,1,West
12,3,West,14,14,15,17,1,0,1,1,West
11,3,West,12,16,17,18,0,0,1,1,West
10,3,West,13,18,19,19,0,0,1,1,West
9,3,West,13,20,19,20,0,0,1,1,West
8,3,West,15,21,21,21,0,0,1,1,West
7,3,West,16,21,21,22,0,0,1,1,West
6,3,West,17,21,21,23,0,0,1,1,West
5,3,West,17,22,22,23,0,0,1,1,West
4,3,West,18,23,22,25,0,0,1,1,West
3,3,West,19,24,22,25,0,0,1,1,West
2,3,West,20,24,22,25,0,0,1,1,West
1,3,West,22,26,23,27,1,0,0,1,North
1,4,North,21,26,23,27,1,1,0,0,North
1,5,North,19,25,22,25,0,1,0,1,East
2,5,East,18,25,21,23,0,0,1,1,East
3,5,East,18,23,21,22,1,0,1,1,East
4,5,East,16,22,21,22,0,0,1,1,East
5,5,East,15,22,20,21,0,0,1,1,East
6,5,East,14,20,20,19,1,0,1,0,North
6,6,North,14,20,20,18,1,1,0,0,North
6,7,North,14,19,20,18,1,1,0,0,North
6,8,North,14,18,19,16,1,1,0,1,North
6,9,North,12,17,18,14,1,1,0,0,North
6,10,North,11,15,17,14,1,1,0,0,North
6,11,North,11,14,16,12,1,1,1,1,North
6,12,North,11,12,14,11,1,1,0,0,North
6,13,North,11,11,12,11,1,1,0,0,North
6,14,North,11,11,12,9,1,1,0,0,North
6,15,North,10,10,12,7,1,1,1,1,East
7,15,East,8,8,12,7,0,0,1,1,East
8,15,East,7,7,11,7,1,1,1,0,North
8,16,North,9,7,11,5,1,1,0,0,North
8,17,North,9,9,10,5,0,1,0,1,East
9,17,East,8,8,9,5,0,0,1,1,East
10,17,East,8,6,9,5,0,0,1,1,East
11,17,East,7,6,8,3,0,0,1,1,East
12,17,East,5,6,6,2,1,0,1,1,East
13,17,East,3,4,4,2,0,1,1,1,East
14,17,East,3,4,3,-1,0,1,1,1,South
14,16,South,3,4,3,-1,1,1,1,0,South
14,15,South,1,2,3,-1,1,0,1,1,West
13,15,West,-1,3,5,-1,1,0,1,1,West
12,15,West,-1,4,6,-1,0,0,1,1,West
11,15,West,-1,6,7,-1,0,0,1,1,West
10,15,West,-1,6,9,-1,0,0,0,1,East
11,15,East,-1,5,8,-1,0,0,1,1,East
12,15,East,-1,3,6,-1,0,0,1,1,East
13,15,East,-1,3,6,-1,1,0,1,1,East
14,15,East,-1,2,5,-1,1,0,1,1,East
15,15,East,-1,-1,3,-1,0,0,1,1,East
16,15,East,-1,-1,3,-1,0,0,1,1,West
15,15,West,-1,-1,2,-1,0,0,1,1,West
14,15,West,-1,-1,4,-1,1,0,1,1,West
13,15,West,-1,-1,4,-1,1,0,1,1,North
13,16,North,-1,-1,3,-1,1,1,0,1,North
13,17,North,-1,-1,2,-1,0,1,1,1,East
14,17,East,-1,-1,2,-1,0,1,1,1,East
15,17,East,-1,-1,2,-1,1,0,1,1,East
16,17,East,-1,-1,2,-1,0,0,1,1,East
17,17,East,-1,-1,1,-1,0,0,1,1,East
15,3,East,17,14,15,14,1,0,1,1,East
16,3,East,17,16,15,15,0,0,1,1,East
17,3,East,19,18,15,17,0,0,1,1,East
18,3,East,20,18,15,19,0,0,1,1,East
19,3,East,20,18,15,20,0,0,1,1,East
20,3,East,20,18,15,21,0,0,1,1,East
21,3,East,20,19,16,21,0,0,1,1,East
22,3,East,21,19,18,21,0,0,1,1,East
23,3,East,23,20,20,23,0,0,1,1,East
24,3,East,23,20,20,25,0,0,1,1,East
25,3,East,23,21,21,25,0,0,1,1,East
26,3,East,26,23,21,25,1,0,1,0,North
26,4,North,24,21,20,24,1,1,0,0,North
26,5,North,22,19,20,24,0,1,1,0,West
25,5,West,22,19,18,24,0,0,1,1,West
24,5,West,20,18,17,22,1,0,1,1,West
23,5,West,20,17,16,20,0,0,1,1,West
22,5,West,20,16,16,20,0,0,1,1,West
21,5,West,18,16,14,19,1,0,0,1,North
21,6,North,17,16,13,19,1,1,0,0,North
21,7,North,15,16,13,18,1,1,0,0,North
21,8,North,14,15,12,16,1,1,1,0,West
20,8,West,13,15,12,16,0,0,1,1,West
19,8,West,12,13,11,15,0,0,1,1,West
18,8,West,11,13,11,15,0,1,1,1,West
17,8,West,10,12,11,14,0,0,1,1,West
16,8,West,10,10,11,13,0,0,1,1,West
15,8,West,9,8,9,11,1,0,1,1,North
15,9,North,8,8,7,11,1,1,0,0,North
15,10,North,7,7,5,9,1,1,0,0,North
15,11,North,7,7,5,7,0,1,0,1,East
16,11,East,6,7,6,9,0,0,1,1,East
17,11,East,8,7,8,11,0,0,1,1,East
18,11,East,8,8,9,12,0,0,1,1,East
19,11,East,8,10,11,12,1,0,1,1,North
19,12,North,7,8,9,10,1,1,0,0,North
19,13,North,5,7,9,8,1,1,1,0,North
19,14,North,3,5,7,8,1,1,0,0,North
19,15,North,2,3,7,7,1,1,0,1,North
19,16,North,2,3,7,9,1,1,0,0,North
19,17,North,1,5,5,9,0,1,1,0,West
18,17,West,-1,5,5,8,0,0,1,1,West
17,17,West,-1,5,5,6,0,0,1,1,West
16,17,West,-1,5,3,4,0,0,1,1,West
15,17,West,-1,3,3,4,1,0,1,1,West
14,17,West,-1,1,1,3,0,1,1,1,South
14,16,South,-1,-1,-1,2,1,1,1,0,South
13,3,West,12,13,13,13,0,0,1,1,West
12,3,West,13,15,15,12,1,0,1,1,West
11,3,West,13,16,17,12,0,0,1,1,West
10,3,West,15,18,19,12,0,0,1,1,West
9,3,West,16,18,19,13,0,0,1,1,West
8,3,West,16,18,19,14,0,0,1,1,West
7,3,West,17,18,19,15,0,0,1,1,West
6,3,West,18,19,21,16,0,0,1,1,West
5,3,West,19,19,21,17,0,0,1,1,West
4,3,West,21,20,21,19,0,0,1,1,West
3,3,West,23,21,23,20,0,0,1,1,West
2,3,West,23,23,23,20,0,0,1,1,West
1,3,West,25,23,24,22,1,0,0,1,North
1,4,North,25,21,23,22,1,1,0,0,North
1,5,North,25,24,24,21,0,1,0,1,East
2,5,East,25,23,24,20,0,0,1,1,East
3,5,East,23,21,23,19,1,0,1,1,East
4,5,East,22,20,21,19,0,0,1,1,East
5,5,East,22,20,20,18,0,0,1,1,East
6,5,East,22,18,21,17,1,0,1,0,North
6,6,North,21,18,20,17,1,1,0,0,North
6,7,North,20,16,18,16,1,1,0,0,North
6,8,North,19,14,18,16,1,1,0,1,North
6,9,North,18,13,16,16,1,1,0,0,North
6,10,North,18,13,14,14,1,1,0,0,North
6,11,North,18,11,14,12,1,1,1,1,North
6,12,North,17,11,12,10,1,1,0,0,North
6,13,North,17,11,11,9,1,1,0,0,North
6,14,North,16,10,10,7,1,1,0,0,North
6,15,North,14,9,9,6,1,1,1,1,North
6,16,North,12,9,9,8,1,1,0,0,North
6,17,North,12,8,9,9,1,1,0,0,North
6,18,North,14,9,8,9,1,1,0,0,North
6,19,North,15,10,6,10,1,1,0,0,North
6,20,North,17,11,7,12,1,1,1,0,North
6,21,North,19,11,8,13,1,1,0,0,North
6,22,North,21,13,9,13,1,1,0,0,North
6,23,North,21,13,11,15,1,1,1,1,East
7,23,East,21,11,10,13,0,0,1,1,East
8,23,East,19,9,9,12,0,0,1,1,East
9,23,East,19,8,7,10,0,1,1,1,East
10,23,East,18,8,6,8,0,0,1,1,East
11,23,East,18,6,4,8,0,0,1,1,East
12,23,East,18,6,3,8,1,0,1,1,East
13,23,East,16,6,4,8,0,0,1,1,East
14,23,East,15,6,6,9,0,0,1,1,East
15,23,East,13,7,6,11,1,0,1,1,East
16,23,East,11,8,7,13,0,0,1,1,East
17,23,East,10,10,9,13,0,0,1,1,East
18,23,East,12,12,10,14,0,1,1,1,South
18,22,South,11,12,9,14,1,1,0,0,South
18,21,South,9,11,7,12,1,1,0,0,South
18,20,South,9,9,7,10,1,0,1,0,West
17,20,West,9,7,6,8,0,0,1,1,West
16,20,West,9,6,4,6,0,0,1,1,West
15,20,West,7,4,3,5,0,1,0,1,South
15,19,South,7,4,3,5,1,1,0,0,South
15,18,South,5,4,5,4,1,1,0,0,South
15,17,South,5,2,7,4,1,0,1,1,West
14,17,West,5,1,7,2,0,1,1,1,West
13,17,West,7,1,5,4,0,1,1,1,West
12,17,West,9,3,3,4,1,0,1,1,North
12,18,North,9,3,3,5,1,1,0,0,North
12,19,North,11,4,2,6,1,1,0,0,North
12,20,North,11,5,2,9,0,1,1,0,West
11,20,West,12,7,1,10,0,0,1,1,West
10,20,West,14,9,-1,11,0,0,1,1,West
9,20,West,16,11,-1,11,1,0,0,1,East
10,20,East,15,9,-1,9,0,0,1,1,East
11,20,East,13,9,-1,8,0,0,1,1,East
12,20,East,11,6,-1,6,0,1,1,0,South
12,19,South,11,6,-1,4,1,1,0,0,South
12,18,South,9,5,-1,3,1,1,0,0,South
12,17,South,8,4,-1,2,1,0,1,1,East
13,17,East,6,4,-1,-1,0,1,1,1,East
14,17,East,6,4,-1,-1,0,1,1,1,East
15,17,East,6,2,-1,-1,1,0,1,1,East
16,17,East,4,3,-1,-1,0,0,1,1,East
17,17,East,6,3,-1,-1,0,0,1,1,East
18,17,East,8,4,-1,-1,0,0,1,1,East
19,17,East,8,6,-1,-1,0,1,1,0,West
18,17,West,6,5,-1,-1,0,0,1,1,West
17,17,West,5,4,-1,-1,0,0,1,1,West
16,17,West,5,4,-1,-1,0,0,1,1,West
15,17,West,7,4,-1,-1,1,0,1,1,West
14,17,West,7,2,-1,-1,0,1,1,1,South
14,16,South,6,2,-1,-1,1,1,1,0,South
14,15,South,5,2,-1,-1,1,0,1,1,East
15,15,East,4,1,-1,-1,0,0,1,1,East
16,15,East,3,-1,-1,-1,0,0,1,1,West
15,15,West,3,-1,-1,-1,0,0,1,1,West
14,15,West,3,-1,-1,-1,1,0,1,1,West
13,15,West,3,-1,-1,-1,1,0,1,1,North
13,16,North,5,-1,-1,-1,1,1,0,1,North
13,17,North,5,-1,-1,-1,0,1,1,1,East
14,17,East,5,-1,-1,-1,0,1,1,1,East
15,17,East,6,-1,-1,-1,1,0,1,1,East
16,17,East,8,-1,-1,-1,0,0,1,1,East
17,17,East,10,-1,-1,-1,0,0,1,1,East
18,17,East,10,-1,-1,-1,0,0,1,1,East
19,17,East,12,-1,-1,-1,0,1,1,0,South
19,16,South,11,-1,-1,-1,1,1,0,0,South
19,15,South,10,-1,-1,-1,1,1,0,1,South
19,14,South,8,-1,-1,-1,1,1,0,0,South
19,13,South,7,-1,-1,-1,1,1,1,0,West
18,13,West,5,-1,-1,-1,0,0,1,1,West
17,13,West,3,-1,-1,-1,0,0,1,1,West
16,13,West,3,-1,-1,-1,0,0,1,1,West
15,13,West,3,-1,-1,-1,0,0,1,1,West
14,13,West,2,-1,-1,-1,0,0,1,1,West
13,13,West,2,-1,-1,-1,0,0,1,1,West
12,13,West,2,-1,-1,-1,0,0,1,1,West
11,13,West,1,-1,-1,-1,0,0,1,1,West
15,3,East,15,12,12,14,1,0,1,1,East
16,3,East,15,14,14,13,0,0,1,1,East
17,3,East,17,14,16,12,0,0,1,1,East
18,3,East,18,14,17,13,0,0,1,1,East
19,3,East,19,16,18,14,0,0,1,1,East
20,3,East,20,18,19,16,0,0,1,1,East
21,3,East,20,20,21,17,0,0,1,1,East
22,3,East,20,22,21,18,0,0,1,1,East
23,3,East,20,23,21,18,0,0,1,1,East
24,3,East,22,25,22,20,0,0,1,1,East
25,3,East,23,27,24,20,0,0,1,1,East
26,3,East,23,27,26,22,1,0,1,0,North
26,4,North,23,26,25,20,1,1,0,0,North
26,5,North,24,24,23,21,0,1,1,0,West
25,5,West,22,23,21,21,0,0,1,1,West
24,5,West,20,22,20,21,1,0,1,1,West
23,5,West,19,21,20,21,0,0,1,1,West
22,5,West,19,20,18,20,0,0,1,1,West
21,5,West,20,19,18,20,1,0,0,1,North
21,6,North,19,18,16,18,1,1,0,0,North
21,7,North,19,16,15,16,1,1,0,0,North
21,8,North,18,16,14,16,1,1,1,0,North
21,9,North,16,15,14,16,1,1,0,0,North
21,10,North,16,14,14,15,1,1,0,0,North
21,11,North,14,12,13,13,1,1,1,1,North
21,12,North,13,12,11,13,1,1,0,0,North
21,13,North,12,12,9,12,1,1,0,0,North
21,14,North,11,12,8,12,1,1,0,0,North
21,15,North,9,10,7,10,1,1,1,1,North
21,16,North,11,12,7,10,1,1,0,0,North
21,17,North,11,12,7,9,1,1,0,0,North
21,18,North,11,13,9,7,1,1,0,0,North
21,19,North,11,14,11,6,1,1,0,0,North
21,20,North,11,16,13,7,1,1,0,1,North
21,21,North,12,16,13,9,1,1,0,0,North
21,22,North,14,16,13,9,1,1,0,0,North
21,23,North,15,17,13,9,1,1,1,1,West
20,23,West,13,16,12,7,0,0,1,1,West
19,23,West,11,14,12,5,0,0,1,1,West
18,23,West,11,14,10,5,0,1,1,1,West
17,23,West,9,14,10,3,0,0,1,1,West
16,23,West,8,12,10,5,0,0,1,1,West
15,23,West,6,11,9,6,1,0,1,1,West
14,23,West,6,11,8,7,0,0,1,1,West
13,23,West,7,9,6,7,0,0,1,1,West
12,23,West,8,9,7,9,1,0,1,1,West
11,23,West,8,11,7,10,0,0,1,1,West
10,23,West,8,13,9,11,0,0,1,1,West
9,23,West,10,15,11,11,0,1,1,1,South
9,22,South,9,15,9,11,1,1,0,0,South
9,21,South,8,13,9,10,1,1,0,0,South
9,20,South,8,9,8,7,1,0,0,1,East
10,20,East,6,7,7,7,0,0,1,1,East
11,20,East,5,7,6,7,0,0,1,1,East
12,20,East,3,5,6,6,0,1,1,0,South
12,19,South,3,5,5,8,1,1,0,0,South
12,18,South,5,4,3,10,1,1,0,0,South
12,17,South,8,3,2,13,1,0,1,1,East
13,17,East,7,3,2,12,0,1,1,1,East
14,17,East,7,5,2,12,0,1,1,1,East
15,17,East,6,5,3,12,1,0,1,1,East
16,17,East,4,5,3,10,0,0,1,1,East
17,17,East,4,6,4,8,0,0,1,1,East
18,17,East,4,6,5,6,0,0,1,1,East
19,17,East,4,9,5,9,0,1,1,0,West
18,17,West,3,8,5,8,0,0,1,1,West
17,17,West,5,6,3,6,0,0,1,1,West
16,17,West,6,4,3,6,0,0,1,1,West
15,17,West,6,2,2,6,1,0,1,1,West
14,17,West,8,-1,4,8,0,1,1,1,South
14,16,South,10,-1,6,9,1,1,1,0,South
14,15,South,11,-1,6,12,1,0,1,1,North
14,16,North,11,-1,6,10,1,1,1,0,North
14,17,North,9,-1,5,9,0,1,1,1,East
15,17,East,7,-1,4,9,1,0,1,1,East
16,17,East,7,-1,4,7,0,0,1,1,East
17,17,East,7,-1,4,7,0,0,1,1,West
16,17,West,7,-1,4,7,0,0,1,1,West
15,17,West,7,-1,3,9,1,0,1,1,West
14,17,West,8,-1,3,9,0,1,1,1,West
13,17,West,9,-1,3,10,0,1,1,1,West
12,17,West,9,-1,5,12,1,0,1,1,West
11,17,West,11,-1,7,12,0,0,1,1,West
10,17,West,11,-1,7,12,0,0,1,1,West
9,17,West,13,-1,9,12,0,0,1,1,West
8,17,West,17,-1,8,10,0,1,0,1,East
9,17,East,15,-1,6,10,0,0,1,1,East
10,17,East,13,-1,5,8,0,0,1,1,East
11,17,East,11,-1,5,8,0,0,1,1,East
12,17,East,9,-1,4,8,1,0,1,1,East
13,17,East,8,-1,2,7,0,1,1,1,East
14,17,East,8,-1,2,6,0,1,1,1,East
15,17,East,7,-1,1,5,1,0,1,1,East
16,17,East,5,-1,3,3,0,0,1,1,East
17,17,East,3,-1,3,3,0,0,1,1,East
18,17,East,5,-1,3,3,0,0,1,1,East
19,17,East,5,-1,7,5,0,1,1,0,West
18,17,West,3,-1,6,5,0,0,1,1,West
17,17,West,3,-1,4,6,0,0,1,1,West
16,17,West,5,-1,4,8,0,0,1,1,West
15,17,West,7,-1,4,8,1,0,1,1,North
15,18,North,6,-1,2,8,1,1,0,0,North
15,19,North,6,-1,2,8,1,1,0,0,North
15,20,North,3,-1,-1,8,0,1,0,1,East
